coaster,park,opened,closed
Boomerang,Rafaela Padilla,1984,1986
Cascabel 2.0,La Feria Chapultepec Magico,1994,2019-09-28
Catarina,Selva Mágica,2001,2019
Diver Gussy Lara,Bosque de Aragón,2013,2015
Dragon,La Feria Chapultepec Magico,,≤ 2006
Dragón,Valle Fantástico,2004-12-14,2009
Dragon,Perimágico,2009,2010 - 2011
Gusano Loco,Mundo Divertido,1998,2003 - 2004
Gussy,Parque Del Refugio,2009 - 2011,2017
Katapulta,Selva Mágica,,1998
Medusa,Six Flags Mexico,2000-06-02,2013
Montaña Rusa,La Feria Chapultepec Magico,1964,2019-09-28
Montaña Rusa,Bosque Mágico,1993,≤ 2006
Montaña Rusa,Mundo Divertido,1993,2002
Montaña Rusa,Mundo Divertido,1993,2003 - 2004
Montaña Rusa,Mundo Divertido,≤ 2002,2016
Montaña Rusa,Parque Luna,1906,
Nessi,Parque Rehilete Alcalde,≤ 2006,2009 - 2012
Oruga Feliz,Divertido,≤ 2003,2004
Oruga Feliz,Valle Fantástico,2004-12-14,2009
Oruga Feliz,Perimágico,2010,2015
Quimera,La Feria Chapultepec Magico,2007,2019-09-28
Ratón Loco,La Feria Chapultepec Magico,1999,2019-09-28
Ratón Loco,La Feria Chapultepec Magico,1964,1992
Rehilete,Parque Rehilete Alcalde,≤ 2003,2009 - 2012
Space Mountain,Divertido,,2004
Tornado,La Feria Chapultepec Magico,1993,2001
unknown,La Feria Chapultepec Magico,≤ 1948,
unknown,Parque Heroes Mexicanos,2005 - 2006,2008 - 2011
unknown,Parque Infantil Ostimuri,≤ 2003,2007 - 2010
unknown,Splash,2013 - 2014,2020